split,sequence,frame,rgb_xc_norm,rgb_yc_norm,rgb_w_norm,rgb_h_norm,ir_xc_norm,ir_yc_norm,ir_w_norm,ir_h_norm,dx_norm,dy_norm,rgb_xc_px,rgb_yc_px,ir_xc_px,ir_yc_px,dx_ir_px,dy_ir_px,rgb_bbox_w_px,rgb_bbox_h_px,ir_bbox_w_px,ir_bbox_h_px
train,20190925_101846_1_1,0,0.400781,0.558333,0.109896,0.112963,0.4,0.632812,0.125,0.09375,-0.0007809999999999762,0.07447900000000007,769.49952,602.99964,256.0,323.999744,-0.4998399999999492,38.13324800000004,211.00032,122.00004,80.0,48.0
train,20190925_101846_1_1,1,0.40026,0.55787,0.109896,0.112037,0.4,0.632812,0.125,0.09375,-0.00025999999999998247,0.07494200000000006,768.4992,602.4996,256.0,323.999744,-0.16639999999995325,38.37030400000003,211.00032,120.99996,80.0,48.0
train,20190925_101846_1_1,2,0.400521,0.55787,0.110417,0.112037,0.4,0.632812,0.125,0.09375,-0.0005209999999999937,0.07494200000000006,769.00032,602.4996,256.0,323.999744,-0.33343999999999596,38.37030400000003,212.00064,120.99996,80.0,48.0
train,20190925_101846_1_1,3,0.400521,0.55787,0.110417,0.112037,0.4,0.632812,0.125,0.09375,-0.0005209999999999937,0.07494200000000006,769.00032,602.4996,256.0,323.999744,-0.33343999999999596,38.37030400000003,212.00064,120.99996,80.0,48.0
train,20190925_101846_1_1,4,0.40026,0.557407,0.110937,0.111111,0.4,0.630859,0.125,0.09375,-0.00025999999999998247,0.07345199999999996,768.4992,601.99956,256.0,322.999808,-0.16639999999995325,37.60742399999998,212.99903999999998,119.99988,80.0,48.0
train,20190925_101846_1_1,5,0.40026,0.557407,0.110937,0.111111,0.4,0.630859,0.125,0.09375,-0.00025999999999998247,0.07345199999999996,768.4992,601.99956,256.0,322.999808,-0.16639999999995325,37.60742399999998,212.99903999999998,119.99988,80.0,48.0
train,20190925_101846_1_1,6,0.400521,0.557407,0.111458,0.111111,0.4,0.630859,0.125,0.09375,-0.0005209999999999937,0.07345199999999996,769.00032,601.99956,256.0,322.999808,-0.33343999999999596,37.60742399999998,213.99936,119.99988,80.0,48.0
train,20190925_101846_1_1,7,0.40026,0.556944,0.111979,0.110185,0.4,0.630859,0.125,0.09375,-0.00025999999999998247,0.07391499999999995,768.4992,601.49952,256.0,322.999808,-0.16639999999995325,37.844479999999976,214.99967999999998,118.99980000000001,80.0,48.0
train,20190925_101846_1_1,8,0.40026,0.556944,0.111979,0.110185,0.4,0.630859,0.125,0.09375,-0.00025999999999998247,0.07391499999999995,768.4992,601.49952,256.0,322.999808,-0.16639999999995325,37.844479999999976,214.99967999999998,118.99980000000001,80.0,48.0
train,20190925_101846_1_1,9,0.4,0.556481,0.1125,0.109259,0.4,0.628906,0.125,0.09375,0.0,0.07242499999999996,768.0,600.99948,256.0,321.999872,0.0,37.08159999999998,216.0,117.99972,80.0,48.0
train,20190925_101846_1_1,10,0.4,0.556481,0.1125,0.109259,0.4,0.628906,0.125,0.09375,0.0,0.07242499999999996,768.0,600.99948,256.0,321.999872,0.0,37.08159999999998,216.0,117.99972,80.0,48.0
train,20190925_101846_1_1,11,0.40026,0.556481,0.113021,0.109259,0.402344,0.629883,0.126562,0.095703,0.0020839999999999748,0.07340199999999997,768.4992,600.99948,257.50016,322.500096,1.3337600000000407,37.58182399999998,217.00032,117.99972,80.99968000000001,48.999936
train,20190925_101846_1_1,12,0.39974,0.556019,0.113021,0.108333,0.402344,0.629883,0.126562,0.095703,0.002603999999999995,0.07386399999999993,767.5008,600.50052,257.50016,322.500096,1.666560000000004,37.818367999999964,217.00032,116.99964,80.99968000000001,48.999936
train,20190925_101846_1_1,13,0.4,0.556019,0.113542,0.108333,0.402344,0.629883,0.126562,0.095703,0.0023439999999999572,0.07386399999999993,768.0,600.50052,257.50016,322.500096,1.500159999999994,37.818367999999964,218.00064,116.99964,80.99968000000001,48.999936
train,20190925_101846_1_1,14,0.40026,0.556019,0.114062,0.108333,0.402344,0.62793,0.126562,0.095703,0.0020839999999999748,0.07191099999999995,768.4992,600.50052,257.50016,321.50016,1.3337600000000407,36.81843199999997,218.99903999999998,116.99964,80.99968000000001,48.999936
train,20190925_101846_1_1,15,0.40026,0.555556,0.113021,0.107407,0.402344,0.62793,0.126562,0.095703,0.0020839999999999748,0.07237399999999994,768.4992,600.00048,257.50016,321.50016,1.3337600000000407,37.05548799999997,217.00032,115.99956,80.99968000000001,48.999936
train,20190925_101846_1_1,16,0.40026,0.555093,0.111979,0.106481,0.402344,0.62793,0.126562,0.095703,0.0020839999999999748,0.07283700000000004,768.4992,599.5004399999999,257.50016,321.50016,1.3337600000000407,37.29254400000002,214.99967999999998,114.99948,80.99968000000001,48.999936
train,20190925_101846_1_1,17,0.400781,0.555093,0.110937,0.106481,0.402344,0.62793,0.126562,0.095703,0.001562999999999981,0.07283700000000004,769.49952,599.5004399999999,257.50016,321.50016,1.0003200000000447,37.29254400000002,212.99903999999998,114.99948,80.99968000000001,48.999936
train,20190925_101846_1_1,18,0.400781,0.55463,0.109896,0.105556,0.402344,0.62793,0.126562,0.095703,0.001562999999999981,0.07330000000000003,769.49952,599.0003999999999,257.50016,321.50016,1.0003200000000447,37.529600000000016,211.00032,114.00048,80.99968000000001,48.999936
train,20190925_101846_1_1,19,0.401562,0.555556,0.109375,0.105556,0.402344,0.625977,0.126562,0.095703,0.0007820000000000049,0.07042099999999996,770.9990399999999,600.00048,257.50016,320.500224,0.5004800000000387,36.05555199999998,210.0,114.00048,80.99968000000001,48.999936
train,20190925_101846_1_1,20,0.401302,0.55463,0.108854,0.105556,0.402344,0.625977,0.126562,0.095703,0.0010419999999999874,0.07134700000000005,770.49984,599.0003999999999,257.50016,320.500224,0.6668800000000488,36.529664000000025,208.99968,114.00048,80.99968000000001,48.999936
train,20190925_101846_1_1,21,0.401562,0.55463,0.108333,0.105556,0.402344,0.625977,0.126562,0.095703,0.0007820000000000049,0.07134700000000005,770.9990399999999,599.0003999999999,257.50016,320.500224,0.5004800000000387,36.529664000000025,207.99936,114.00048,80.99968000000001,48.999936
train,20190925_101846_1_1,22,0.401823,0.55463,0.107813,0.105556,0.402344,0.625977,0.126562,0.095703,0.0005209999999999937,0.07134700000000005,771.5001599999999,599.0003999999999,257.50016,320.500224,0.3334400000000528,36.529664000000025,207.00096000000002,114.00048,80.99968000000001,48.999936
train,20190925_101846_1_1,23,0.402083,0.553704,0.107292,0.105556,0.404687,0.626953,0.128125,0.097656,0.002603999999999995,0.07324900000000001,771.99936,598.00032,258.99968,320.999936,1.666560000000004,37.503488000000004,206.00064,114.00048,82.0,49.999872
train,20190925_101846_1_1,24,0.402604,0.554167,0.107292,0.106481,0.403125,0.625,0.128125,0.097656,0.0005209999999999937,0.07083300000000003,772.99968,598.50036,258.0,320.0,0.33343999999999596,36.26649599999996,206.00064,114.99948,82.0,49.999872
train,20190925_101846_1_1,25,0.402865,0.554167,0.106771,0.106481,0.403125,0.625,0.128125,0.097656,0.000260000000000038,0.07083300000000003,773.5007999999999,598.50036,258.0,320.0,0.16640000000006694,36.26649599999996,205.00032000000002,114.99948,82.0,49.999872
train,20190925_101846_1_1,26,0.403125,0.553241,0.10625,0.106481,0.403125,0.625,0.128125,0.097656,0.0,0.07175900000000002,774.0,597.50028,258.0,320.0,0.0,36.74060800000001,204.0,114.99948,82.0,49.999872
train,20190925_101846_1_1,27,0.403385,0.553241,0.105729,0.106481,0.403125,0.625,0.128125,0.097656,-0.00025999999999998247,0.07175900000000002,774.4992,597.50028,258.0,320.0,-0.16639999999995325,36.74060800000001,202.99968,114.99948,82.0,49.999872
train,20190925_101846_1_1,28,0.403906,0.553241,0.105729,0.106481,0.403125,0.625,0.128125,0.097656,-0.0007809999999999762,0.07175900000000002,775.49952,597.50028,258.0,320.0,-0.4998399999999492,36.74060800000001,202.99968,114.99948,82.0,49.999872
train,20190925_101846_1_1,29,0.404167,0.552778,0.105208,0.107407,0.403125,0.625,0.128125,0.097656,-0.0010419999999999874,0.07222200000000001,776.00064,597.00024,258.0,320.0,-0.6668799999999919,36.977664000000004,201.99936,115.99956,82.0,49.999872
train,20190925_101846_1_1,30,0.404427,0.552778,0.104688,0.107407,0.403125,0.625,0.128125,0.097656,-0.0013019999999999698,0.07222200000000001,776.49984,597.00024,258.0,320.0,-0.8332799999999452,36.977664000000004,201.00096000000002,115.99956,82.0,49.999872
train,20190925_101846_1_1,31,0.404687,0.552778,0.104167,0.107407,0.403125,0.625,0.128125,0.097656,-0.0015620000000000078,0.07222200000000001,776.99904,597.00024,258.0,320.0,-0.9996800000000121,36.977664000000004,200.00064,115.99956,82.0,49.999872
train,20190925_101846_1_1,32,0.404687,0.551852,0.104167,0.107407,0.403125,0.624023,0.128125,0.099609,-0.0015620000000000078,0.07217099999999999,776.99904,596.00016,258.0,319.499776,-0.9996800000000121,36.951551999999936,200.00064,115.99956,82.0,50.999808
train,20190925_101846_1_1,33,0.404948,0.551852,0.103646,0.107407,0.403125,0.624023,0.128125,0.099609,-0.0018229999999999635,0.07217099999999999,777.5001599999999,596.00016,258.0,319.499776,-1.1667199999999411,36.951551999999936,199.00032000000002,115.99956,82.0,50.999808
train,20190925_101846_1_1,34,0.405208,0.552315,0.103125,0.108333,0.403125,0.624023,0.128125,0.099609,-0.0020830000000000015,0.071708,777.99936,596.5002,258.0,319.499776,-1.333120000000008,36.714496,198.0,116.99964,82.0,50.999808
train,20190925_101846_1_1,35,0.405469,0.551389,0.102604,0.108333,0.403125,0.624023,0.128125,0.099609,-0.0023440000000000127,0.07263399999999998,778.50048,595.50012,258.0,319.499776,-1.500159999999994,37.18860799999999,196.99968,116.99964,82.0,50.999808
train,20190925_101846_1_1,36,0.40599,0.551389,0.102604,0.108333,0.401562,0.624023,0.128125,0.099609,-0.004428000000000043,0.07263399999999998,779.5008,595.50012,256.99968,319.499776,-2.833919999999978,37.18860799999999,196.99968,116.99964,82.0,50.999808
train,20190925_101846_1_1,37,0.40625,0.551389,0.102083,0.108333,0.401562,0.624023,0.128125,0.099609,-0.0046880000000000255,0.07263399999999998,780.0,595.50012,256.99968,319.499776,-3.000319999999988,37.18860799999999,195.99936,116.99964,82.0,50.999808
train,20190925_101846_1_1,38,0.40651,0.550463,0.101562,0.108333,0.401562,0.624023,0.128125,0.099609,-0.004948000000000008,0.07355999999999996,780.4992,594.50004,256.99968,319.499776,-3.166719999999941,37.66271999999998,194.99904,116.99964,82.0,50.999808
train,20190925_101846_1_1,39,0.406771,0.550926,0.101042,0.109259,0.401562,0.624023,0.128125,0.099609,-0.005209000000000019,0.07309699999999997,781.00032,595.00008,256.99968,319.499776,-3.333759999999984,37.42566399999998,194.00064,117.99972,82.0,50.999808
train,20190925_101846_1_1,40,0.407292,0.550926,0.101042,0.109259,0.401562,0.623047,0.128125,0.101562,-0.005730000000000013,0.07212099999999999,782.00064,595.00008,256.99968,319.000064,-3.66719999999998,36.925951999999995,194.00064,117.99972,82.0,51.999744
train,20190925_101846_1_1,41,0.407552,0.55,0.100521,0.109259,0.401562,0.623047,0.128125,0.101562,-0.005990000000000051,0.07304699999999997,782.4998400000001,594.0,256.99968,319.000064,-3.83359999999999,37.400063999999986,193.00032,117.99972,82.0,51.999744
train,20190925_101846_1_1,42,0.407813,0.55,0.1,0.109259,0.401562,0.623047,0.128125,0.101562,-0.0062510000000000066,0.07304699999999997,783.00096,594.0,256.99968,319.000064,-4.000639999999976,37.400063999999986,192.0,117.99972,82.0,51.999744
